,0,1,2
0,4SIGHT,Software and Computer Services,4SIGHT 4SI 4Sight Holdings Ltd. 4Sight-Holdings-Ltd.
1,ABSA,Banks,ABSA ABG Absa Group Ltd. Absa-Group-Ltd.
2,ABSABANK-P,Preference Shares,ABSABANK-P ABSP Absa Bank Ltd. Absa-Bank-Ltd.
3,ARCMITTAL,Industrial Metals and Mining,ARCMITTAL ACL ArcelorMittal South Africa Ltd. ArcelorMittal-South-Africa-Ltd.
4,ACSION,Real Estate Investment and Services,ACSION ACS Acsion Ltd. Acsion-Ltd.
5,AFRO-C,Health Care Providers,AFRO-C ACT AfroCentric Investment Corporation Ltd. AfroCentric-Investment-Corporation-Ltd.
6,ADVTECH,Consumer Services,ADVTECH ADH ADvTECH Ltd. ADvTECH-Ltd.
7,ADCORP,Industrial Support Services,ADCORP ADR Adcorp Holdings Ltd. Adcorp-Holdings-Ltd.
8,AFDAWN,Finance and Credit Services,AFDAWN ADW African Dawn Capital Ltd. African-Dawn-Capital-Ltd.
9,AVENG,Construction and Materials,AVENG AEG Aveng Ltd. Aveng-Ltd.
10,ALTRON,Software and Computer Services,ALTRON AEL Altron Ltd. Altron-Ltd.
11,AECI,Chemicals,AECI AFE AECI Ltd. AECI-Ltd.
12,AECI 5.5%P,Preference Shares,AECI 5.5%P AFEP AECI Ltd. AECI-Ltd.
13,AFORBES,Investment Banking and Brokerage Services,AFORBES AFH Alexander Forbes Group Holdings Ltd. Alexander-Forbes-Group-Holdings-Ltd.
14,AFINE,Real Estate Investment Trusts,AFINE ANI Afine Investments Ltd. Afine-Investments-Ltd.
15,ARCINVEST,Closed End Investments,ARCINVEST AIL African Rainbow Capital Investments Ltd. African-Rainbow-Capital-Investments-Ltd.
16,AFRISTRAT,Investment Banking and Brokerage Services,AFRISTRAT ATI Afristrat Investment Holdings Ltd. Afristrat-Investment-Holdings-Ltd.
17,ATIPREFD,Preference Shares,ATIPREFD ATID Afristrat Investment Holdings Ltd. Afristrat-Investment-Holdings-Ltd.
18,ATIPREFG,Preference Shares,ATIPREFG ATIG Afristrat Investment Holdings Ltd. Afristrat-Investment-Holdings-Ltd.
19,AFRIMAT,Industrial Metals and Mining,AFRIMAT AFT Afrimat Ltd. Afrimat-Ltd.
20,ANGLO,Industrial Metals and Mining,ANGLO AGL Anglo American plc Anglo-American-plc
21,AH-VEST,Food Producers,AH-VEST AHL AH-Vest Ltd. AH-Vest-Ltd.
22,ADCOCK,Pharmaceuticals and Biotechnology,ADCOCK AIP Adcock Ingram Holdings Ltd. Adcock-Ingram-Holdings-Ltd.
23,ALPHAMIN,Industrial Metals and Mining,ALPHAMIN APH Alphamin Resources Corp. Alphamin-Resources-Corp.
24,AME,Media,AME AME African Media Entertainment Ltd. African-Media-Entertainment-Ltd.
25,AMPLATS,Precious Metals and Mining,AMPLATS AMS Anglo American Platinum Ltd. Anglo-American-Platinum-Ltd.
26,ANGGOLD,Precious Metals and Mining,ANGGOLD ANG AngloGold Ashanti plc AngloGold-Ashanti-plc
27,AB INBEV,Beverages,AB INBEV ANH Anheuser-Busch InBev SA/NV Anheuser-Busch-InBev-SA/NV
28,AFOVR-N,Retailers,AFOVR-N AON African and Overseas Enterprises Ltd. African-and-Overseas-Enterprises-Ltd.
29,AF & OVR,Retailers,AF & OVR AOO African and Overseas Enterprises Ltd. African-and-Overseas-Enterprises-Ltd.
30,AF&OVR 6%PP,Retailers,AF&OVR 6%PP AOVP African and Overseas Enterprises Ltd. African-and-Overseas-Enterprises-Ltd.
31,ACCPROP,Real Estate Investment Trusts,ACCPROP APF Accelerate Property Fund Ltd. Accelerate-Property-Fund-Ltd.
32,ASPEN,Pharmaceuticals and Biotechnology,ASPEN APN Aspen Pharmacare Holdings Ltd. Aspen-Pharmacare-Holdings-Ltd.
33,ASTORIA,Closed End Investments,ASTORIA ARA Astoria Investment Ltd. Astoria-Investment-Ltd.
34,AREIT,Real Estate Investment Trusts,AREIT APO aReit Prop Ltd. aReit-Prop-Ltd.
35,ARM,Industrial Metals and Mining,ARM ARI African Rainbow Minerals Ltd. African-Rainbow-Minerals-Ltd.
36,ASTRAL,Food Producers,ASTRAL ARL Astral Foods Ltd. Astral-Foods-Ltd.
37,ARGENT,Industrial Support Services,ARGENT ART Argent Industrial Ltd. Argent-Industrial-Ltd.
38,ASCENDIS,Pharmaceuticals and Biotechnology,ASCENDIS ASC Ascendis Health Ltd. Ascendis-Health-Ltd.
